"","frog_mort","car_num","year","location","species"
"1",NA,NA,NA,NA,NA
"2",23.8108191470646,44.5403859741489,2010,"Site A","Rana clamitans"
"3",24.1703468952121,55.5833032358448,2010,"Site A","Pseudacris crucifer"
"4",25.3404889773467,64.0087225454489,2010,"Site A","Lithobates pipiens"
"5",25.5392961858919,42.1848629286566,2011,"Site A","Rana clamitans"
"6",25.9592255307402,48.21899112598,2011,"Site A","Pseudacris crucifer"
"7",26.4101421807525,57.2133508058076,2011,"Site A","Lithobates pipiens"
"8",24.5469076910715,37.2908257307687,2012,"Site A","Rana clamitans"
"9",24.9745596439716,59.9310002702252,2012,"Site A","Pseudacris crucifer"
"10",25.4651552432462,66.5326699198571,2012,"Site A","Lithobates pipiens"
"11",24.0630448343108,37.1819781794837,2013,"Site A","Rana clamitans"
"12",26.1576926561618,39.3985748868959,2013,"Site A","Pseudacris crucifer"
"13",26.353052739439,45.0603161200013,2013,"Site A","Lithobates pipiens"
"14",23.8745085572113,36.9360586698795,2014,"Site A","Rana clamitans"
"15",24.0977636346287,51.3753543406557,2014,"Site A","Pseudacris crucifer"
"16",24.8668028267523,64.131966051605,2014,"Site A","Lithobates pipiens"
"17",24.1372705808066,35.6297524026631,2015,"Site A","Rana clamitans"
"18",25.1800555284088,40.6050555562622,2015,"Site A","Pseudacris crucifer"
"19",27.0607240010603,59.0784167015955,2015,"Site A","Lithobates pipiens"
"20",23.428595006503,45.8187910140959,2016,"Site A","Rana clamitans"
"21",24.4621878239289,51.0552978998252,2016,"Site A","Pseudacris crucifer"
"22",26.3453241155881,58.3839564151903,2016,"Site A","Lithobates pipiens"
"23",21.8517939957217,45.0033929090313,2017,"Site A","Rana clamitans"
"24",22.8660062202026,55.8272458415879,2017,"Site A","Pseudacris crucifer"
"25",22.9464243926686,56.9039927017704,2017,"Site A","Lithobates pipiens"
"26",23.6320189327042,47.753295585806,2018,"Site A","Rana clamitans"
"27",23.6766512246413,51.8822703669891,2018,"Site A","Pseudacris crucifer"
"28",26.5364915623948,53.8217504337175,2018,"Site A","Lithobates pipiens"
"29",23.8301770145437,31.0756033219592,2019,"Site A","Rana clamitans"
"30",25.0220282305595,43.5903495146475,2019,"Site A","Pseudacris crucifer"
"31",25.3854052830558,55.9121161687364,2019,"Site A","Lithobates pipiens"
"32",24.8860305418617,40.8270850399108,2010,"Site B","Rana clamitans"
"33",25.6472174167191,56.3860565286537,2010,"Site B","Pseudacris crucifer"
"34",25.9684235890446,56.4029596526265,2010,"Site B","Lithobates pipiens"
"35",24.0706594278754,38.7568470043652,2011,"Site B","Rana clamitans"
"36",24.9492232186551,43.582615388515,2011,"Site B","Pseudacris crucifer"
"37",25.6067008766766,60.3436672941709,2011,"Site B","Lithobates pipiens"
"38",24.55143497852,45.7301997712808,2012,"Site B","Rana clamitans"
"39",25.39431076763,53.2430649474403,2012,"Site B","Pseudacris crucifer"
"40",25.9564729942778,53.4093291194789,2012,"Site B","Lithobates pipiens"
"41",24.9238884599604,47.3796144574373,2013,"Site B","Rana clamitans"
"42",26.0961235114927,53.8607700302611,2013,"Site B","Pseudacris crucifer"
"43",26.2640584480928,55.0653909339999,2013,"Site B","Lithobates pipiens"
"44",22.7121253653982,35.2057458909435,2014,"Site B","Rana clamitans"
"45",23.9545436635159,41.0953334902365,2014,"Site B","Pseudacris crucifer"
"46",24.2575893187311,51.3495200702072,2014,"Site B","Lithobates pipiens"
"47",23.7626360745027,42.0243212792268,2015,"Site B","Rana clamitans"
"48",23.9972105133203,42.214416287493,2015,"Site B","Pseudacris crucifer"
"49",24.6710565567805,53.7504867546921,2015,"Site B","Lithobates pipiens"
"50",23.4552777855885,40.3999085523297,2016,"Site B","Rana clamitans"
"51",24.8207778496354,46.5927100715408,2016,"Site B","Pseudacris crucifer"
"52",25.0859808834905,49.8727259195256,2016,"Site B","Lithobates pipiens"
"53",23.735752000058,41.7647257372053,2017,"Site B","Rana clamitans"
"54",25.2683216292162,50.902997447063,2017,"Site B","Pseudacris crucifer"
"55",26.0320633384666,54.0963791782003,2017,"Site B","Lithobates pipiens"
"56",25.0398952046285,37.0153369125629,2018,"Site B","Rana clamitans"
"57",25.2506796108508,46.2856635161351,2018,"Site B","Pseudacris crucifer"
"58",25.5691661171396,53.140044000601,2018,"Site B","Lithobates pipiens"
"59",24.6979657920237,41.7415904123995,2019,"Site B","Rana clamitans"
"60",24.8115941782382,51.0090160987268,2019,"Site B","Pseudacris crucifer"
"61",27.0384329301537,58.3378852780837,2019,"Site B","Lithobates pipiens"
"62",24.0832501145757,50.7055689592534,2010,"Site C","Rana clamitans"
"63",25.2646209993808,56.6888760057248,2010,"Site C","Pseudacris crucifer"
"64",26.5538422565508,56.7164962823085,2010,"Site C","Lithobates pipiens"
"65",25.3616106062268,45.9679599925924,2011,"Site C","Rana clamitans"
"66",26.4982868652863,51.1459766219379,2011,"Site C","Pseudacris crucifer"
"67",27.5584031377462,51.8147636969138,2011,"Site C","Lithobates pipiens"
"68",22.6945311230636,50.2313418617308,2012,"Site C","Rana clamitans"
"69",24.4087519036565,51.4919021309282,2012,"Site C","Pseudacris crucifer"
"70",25.1050267517311,61.6573961794405,2012,"Site C","Lithobates pipiens"
"71",24.7089350965961,49.0005525953014,2013,"Site C","Rana clamitans"
"72",25.9318248285622,49.8729903119564,2013,"Site C","Pseudacris crucifer"
"73",26.4440657975842,53.5298195315455,2013,"Site C","Lithobates pipiens"
"74",25.1061932639129,29.6741772375586,2014,"Site C","Rana clamitans"
"75",25.2310482040237,51.5311033925641,2014,"Site C","Pseudacris crucifer"
"76",25.452286617049,59.9236193862142,2014,"Site C","Lithobates pipiens"
"77",23.1769102992908,55.4999048326631,2015,"Site C","Rana clamitans"
"78",23.4617434642375,55.5565243550595,2015,"Site C","Pseudacris crucifer"
"79",24.6228869758481,63.5686073122119,2015,"Site C","Lithobates pipiens"
"80",25.1728874741078,46.747099493817,2016,"Site C","Rana clamitans"
"81",26.5229535857169,57.5947453272175,2016,"Site C","Pseudacris crucifer"
"82",26.681540931405,62.8397440334545,2016,"Site C","Lithobates pipiens"
"83",23.8998116362731,36.8328653035441,2017,"Site C","Rana clamitans"
"84",25.8350722018006,49.3474678140302,2017,"Site C","Pseudacris crucifer"
"85",26.3126451495763,51.6990538434422,2017,"Site C","Lithobates pipiens"
"86",24.0579680567841,34.040863350246,2018,"Site C","Rana clamitans"
"87",24.6719468921724,51.6548414342311,2018,"Site C","Pseudacris crucifer"
"88",25.6119476567883,56.3848492078499,2018,"Site C","Lithobates pipiens"
"89",23.0834305302415,43.3183649451784,2019,"Site C","Rana clamitans"
"90",24.4605498289004,47.6700359182867,2019,"Site C","Pseudacris crucifer"
"91",25.5639043320451,54.1723707811319,2019,"Site C","Lithobates pipiens"
"92",13.783065424952,20.4724040541972,2020,"Site A","Rana clamitans"
"93",15.0882459880698,21.868983750629,2020,"Site A","Pseudacris crucifer"
"94",16.2533229419538,40.5639380237102,2020,"Site A","Lithobates pipiens"
"95",13.7942508428134,21.5962879969457,2020,"Site B","Rana clamitans"
"96",15.4536636510325,25.207513715558,2020,"Site B","Pseudacris crucifer"
"97",16.3461646992067,26.3682085917488,2020,"Site B","Lithobates pipiens"
